module			 depends on?
py-wheel/			no
py-wheel/0.34.2-gcc-62h2			no
py-wrapt/			no
py-wrapt/1.11.2-gcc-6hl7			no
python/			no
python/			no
python/3.10.14			no
python/3.10.4			no
python/3.11.9			no
python/3.12.2			no
python/3.8.6-gcc-2pmf			no
python/3.8.6-intel-uly7			no
python/3.8.6-lmod			no
python/3.9.9			no
python2/			no
python2/2.7.18			no
python3			no
python39			no
qe/			YES
qe/7.3.1			YES
qe/7.3.1-libxc			no
quantum-espresso/			no
quantum-espresso/6.6-gcc-w4hr			no
r/			no
r/4.0.3			no
r/4.1.0			no
r/4.2.1			no
r/4.2.2			no
r/4.3.0			no
r/4.4.0			no
randfold/			no
randfold/2.0.1-gcc-4t6a			no
relion/			no
relion/3.0.8-gcc-unye			no
samtools/			no
samtools/1.15			no
samtools/1.18			no
samtools/1.20			no
sas/			no
sas/9.4			no
scrnsaverproto/			no
scrnsaverproto/1.2.2-gcc-7qzb			no
shared			no
siesta/			no
siesta/4.1.5.intel			no
singularity/			no
singularity/3.8.0			no
slim/			no
slim/4.2.2			no
spark/			no
spark/			no
spark/2.3.0-gcc-fhmj			no
spark/3.2.0			no
sqlite/			no
sqlite/3.33.0-gcc-doiu			no
sqlite/3.33.0-intel-grge			no
squashfs/			no
squashfs/4.4-gcc-krst			no
squid/			no
squid/1.9g-gcc-7t2p			no
stacks/			no
stacks/2.66			no
star/			no
star/2.7.6a-gcc-oxcd			no
stringtie/			no
stringtie/1.3.4d-gcc-mhed			no
tbb/			no
tbb/2021.10.0			no
tbb/2021.2.0			no
tbb/2021.5.1			no
tbb/2021.8.0			no
tbb/latest			no
tbb32/			no
tbb32/2021.10.0			no
tbb32/2021.2.0			no
tbb32/2021.5.1			no
tbb32/2021.8.0			no
tbb32/latest			no
tecplot/			no
tecplot/2024r1			no
tensor-rt/			no
tensor-rt/10.0.1.6			no
tensor-rt/7.2.3.4			no
tensor-rt/8.4.3.1			no
tensor-rt/8.6.1.6			no
TGS-GapCloser/			no
TGS-GapCloser/1.01			no
tk/			no
tk/8.6.10-gcc-sbu6			no
tophat/			no
tophat/2.1.1			no
training			no
transrate/			no
transrate/1.0.3-gcc-soly			no
trimmomatic/			no
trimmomatic/0.39-gcc-mwzr			no
ucx/			no
ucx/1.14.1			no
valgrind/			no
valgrind/3.15.0-gcc-5wha			no
vasp/			no
vasp/5.4.4			no
vasp/5.4.4.intel			no
vasp/6.1.0_sol.intel			no
vasp/6.1.0_sol.intel_omp			no
vasp/6.2.1			no
vasp/6.2.1.intel			no
vasp/6.2.1.intel_omp			no
vasp/6.3.1.intel			no
vasp/6.3.1.intel_omp			no
vasp/6.3.1.nvhpc			no
vasp/6.3.1.nvhpc_omp			no
vasp/6.3.1.nvhpc_omp_acc			no
vasp/6.3.1_vtst.intel			no
vasp/6.3.1_vtst.intel_omp			no
vasp/6.3.2.intel_omp			no
vasp/6.3.2.nvhpc_omp_acc			no
vasp/6.4.2.intel_omp			no
vasp/6.4.2.nvhpc_omp_acc			no
vasp/6.4.3.intel_omp			no
vasp/6.4.3.nvhpc_omp_acc			no
vcftools/			no
vcftools/			no
vcftools/0.1.14-gcc-rz3q			no
vcftools/0.1.16			no
velvet/			no
velvet/1.2.10-gcc-gprg			no
vgl/			no
vgl/3.1			no
vmd/			no
vmd/1.9			no
vmd/1.9.4a55			no
vpl/			no
vpl/2021.2.2			no
vpl/2022.0.0			no
vpl/2023.0.0			no
vpl/latest			no
vsearch/			no
vsearch/2.29.0			no
vtune/			no
vtune/2023.2.0			no
vtune/latest			no
wannier90/			YES
wannier90/2.7.0			YES
yambo/			YES
yambo/5.3			YES
z3/			no
z3/4.11.2			no
z3/4.12.2			no
zlib/			no
zlib/1.3			no
